Model,Glucose_uptake,Oxygen_uptake,Growth_rate
iYO844,4.875,16.5,0.40064056751003513
iYO844,4.875,17.25,0.40064056751003513
iYO844,4.875,18.0,0.40064056751003513
iYO844,4.875,18.75,0.40064056751003513
iYO844,4.875,19.5,0.40064056751003513
iYO844,4.875,20.25,0.40064056751003513
iYO844,4.875,21.0,0.40064056751003513
iYO844,4.875,21.75,0.40064056751003513
iYO844,4.875,22.5,0.40064056751003513
iYO844,4.875,23.25,0.40064056751003513
iYO844,4.875,24.0,0.40064056751003513
iYO844,4.875,24.75,0.40064056751003513
iYO844,4.875,25.5,0.40064056751003513
iYO844,4.875,26.25,0.40064056751003513
iYO844,4.875,27.0,0.40064056751003513
iYO844,4.875,27.75,0.40064056751003513
iYO844,4.875,28.5,0.40064056751003513
iYO844,4.875,29.25,0.40064056751003513
iYO844,4.875,30.0,0.40064056751003513
iYO844,5.25,0.0,0.0
iYO844,5.25,0.75,0.03619536634975777
iYO844,5.25,1.5,0.06125369689959025
iYO844,5.25,2.25,0.08631202744942262
iYO844,5.25,3.0,0.11137035799925502
iYO844,5.25,3.75,0.13642868854908738
iYO844,5.25,4.5,0.16148701909891977
iYO844,5.25,5.25,0.18654534964875216
iYO844,5.25,6.0,0.21160368019858453
iYO844,5.25,6.75,0.2366620107484169
iYO844,5.25,7.5,0.2617203412982493
iYO844,5.25,8.25,0.2820970684522756
iYO844,5.25,9.0,0.299599441312453
iYO844,5.25,9.75,0.3171018141726307
iYO844,5.25,10.5,0.33446667882015696
iYO844,5.25,11.25,0.35119001276116485
iYO844,5.25,12.0,0.36791334670217274
iYO844,5.25,12.75,0.3846366806431804
iYO844,5.25,13.5,0.4013600145841885
iYO844,5.25,14.25,0.4180833485251962
iYO844,5.25,15.0,0.4340272814692047
iYO844,5.25,15.75,0.4340272814692047
iYO844,5.25,16.5,0.4340272814692047
iYO844,5.25,17.25,0.4340272814692047
iYO844,5.25,18.0,0.4340272814692047
iYO844,5.25,18.75,0.4340272814692047
iYO844,5.25,19.5,0.4340272814692047
iYO844,5.25,20.25,0.4340272814692047
iYO844,5.25,21.0,0.4340272814692047
iYO844,5.25,21.75,0.4340272814692047
iYO844,5.25,22.5,0.4340272814692047
iYO844,5.25,23.25,0.4340272814692047
iYO844,5.25,24.0,0.4340272814692047
iYO844,5.25,24.75,0.4340272814692047
iYO844,5.25,25.5,0.4340272814692047
iYO844,5.25,26.25,0.4340272814692047
iYO844,5.25,27.0,0.4340272814692047
iYO844,5.25,27.75,0.4340272814692047
iYO844,5.25,28.5,0.4340272814692047
iYO844,5.25,29.25,0.4340272814692047
iYO844,5.25,30.0,0.4340272814692047
iYO844,5.625,0.0,0.0
iYO844,5.625,0.75,0.04176388424972064
iYO844,5.625,1.5,0.06682221479955312
iYO844,5.625,2.25,0.09188054534938543
iYO844,5.625,3.0,0.11693887589921784
iYO844,5.625,3.75,0.14199720644905015
iYO844,5.625,4.5,0.16705553699888245
iYO844,5.625,5.25,0.19211386754871482
iYO844,5.625,6.0,0.21717219809854713
iYO844,5.625,6.75,0.2422305286483791
